"Nazwa";"Typ";"Latitude";"Longitude"
"Kaufland";"supermarket";"54.3368014";"18.6205902"
"No Name";"supermarket";"54.4155953";"18.5979086"
"Biedronka";"supermarket";"54.3553014";"18.6503589"
"Eurospar";"supermarket";"54.3770118";"18.6074553"
"Biedronka";"supermarket";"54.261147";"18.6383328"
"Stokrotka";"supermarket";"54.3021479";"18.5772366"
"Carrefour";"supermarket";"54.3219619";"18.5503771"
"Spar";"supermarket";"54.3297313";"18.6040263"
"Lidl";"supermarket";"54.3226414";"18.5529299"
"Biedronka";"supermarket";"54.3472388";"18.6628918"
"Biedronka";"supermarket";"54.3250123";"18.617673"
"Max & Xavier";"supermarket";"54.313937";"18.570369"
"Biedronka";"supermarket";"54.3510106";"18.5561152"
"Biedronka";"supermarket";"54.4570176";"18.552478"
"E.Leclerc";"supermarket";"54.4100426";"18.5918995"
"Biedronka";"supermarket";"54.4692831";"18.4687901"
"Netto";"supermarket";"54.3107981";"18.5676141"
"Brak nazwy";"supermarket";"54.39327";"18.40606"
"Biedronka";"supermarket";"54.3891766";"18.5899493"
"Biedronka";"supermarket";"54.4048801";"18.6254803"
"Biedronka";"supermarket";"54.4910864";"18.5422766"
"Misiek";"supermarket";"54.4970936";"18.4395427"
"Biedronka";"supermarket";"54.4450078";"18.559638"
"Lewiatan";"supermarket";"54.3608648";"18.7116633"
"Biedronka";"supermarket";"54.3547241";"18.6462955"
"Lidl";"supermarket";"54.4330932";"18.5625748"
"Eurospar";"supermarket";"54.4018185";"18.5746007"
"Biedronka";"supermarket";"54.3781194";"18.6062493"
"Biedronka";"supermarket";"54.4119539";"18.6023153"
"Biedronka";"supermarket";"54.3884604";"18.6230299"
"Biedronka";"supermarket";"54.4085342";"18.5673522"
"Biedronka";"supermarket";"54.3511862";"18.6547489"
"Biedronka";"supermarket";"54.3817881";"18.6083354"
"Biedronka";"supermarket";"54.3176085";"18.5686315"
"Auchan";"supermarket";"54.4258779";"18.4919627"
"Netto";"supermarket";"54.3212646";"18.5972519"
"Auchan";"supermarket";"54.3511122";"18.5255688"
"Biedronka";"supermarket";"54.3504043";"18.6323501"
"Netto";"supermarket";"54.2697137";"18.4685345"
"Livio";"supermarket";"54.4002395";"18.6610529"
"Biedronka";"supermarket";"54.3379811";"18.6258351"
"Stokrotka";"supermarket";"54.3415913";"18.5617026"
"Biedronka";"supermarket";"54.3460254";"18.5931979"
"Polo Market";"supermarket";"54.4326191";"18.4803645"
"Biedronka";"supermarket";"54.3376127";"18.6126023"
"Biedronka";"supermarket";"54.3213969";"18.6311909"
"Biedronka";"supermarket";"54.4126986";"18.5915819"
"Biedronka";"supermarket";"54.3995993";"18.6603358"
"Biedronka";"supermarket";"54.3994729";"18.6694566"
"Biedronka";"supermarket";"54.3905061";"18.6126678"
"Biedronka";"supermarket";"54.4041641";"18.6011225"
"Carrefour";"supermarket";"54.3530378";"18.5928046"
"Lewiatan";"supermarket";"54.4373557";"18.5713306"
"Max & Xavier";"supermarket";"54.2754266";"18.5854612"
"Biedronka";"supermarket";"54.3932267";"18.6178448"
"Max & Xavier";"supermarket";"54.3591881";"18.5775615"
