Nazwa;Typ;Latitude;Longitude;miasto;dzielnica
RCKiK w Gdańsku OT Gdynia;clinic;54.4884869;18.5494663;Gdynia;Redłowo
Mała Klinika;clinic;54.3478598;18.6164845;Gdańsk;Siedlce
Podolog Letnica. Magdalena Kosecka;clinic;54.395259;18.6431362;Gdańsk;Letnica
Przychodnia STARMED Letnica;clinic;54.3940921;18.6468261;Gdańsk;Letnica
VitalMed Clinic;clinic;54.3942106;18.6467781;Gdańsk;Letnica
Przychodnia ETERMED;clinic;54.2750971;18.5783468;Straszyn;
Dekerta;clinic;54.3813424;18.5980688;Gdańsk;Wrzeszcz Górny
SOR;clinic;54.3511674;18.6388434;Gdańsk;Siedlce
Novum Medica;clinic;54.4307854;18.4783231;Gdańsk;Osowa
NZOZ Cor-Gyn;clinic;54.3799288;18.5986225;Gdańsk;Wrzeszcz Górny
Morenova Klinika;clinic;54.3507569;18.5881691;Gdańsk;Piecki-Migowo
Wyspa Medycyny Przyjaznej;clinic;54.3422286;18.6547713;Gdańsk;Śródmieście
Klinika Bałtycka;clinic;54.3963994;18.6439934;Gdańsk;Letnica
Royal Med Clinic;clinic;54.4808385;18.5523285;Gdynia;Orłowo
Bianco Clinic;clinic;54.465666;18.4601976;Gdynia;Dąbrowa
"Niepubliczny Zakład Opieki Zdrowotnej ""Stogi""";clinic;54.3611244;18.7136965;Gdańsk;Stogi
Klinika Psychiatrii Dorosłych;clinic;54.3663055;18.6223862;Gdańsk;Aniołki
NZOZ Przychodnia Morena;clinic;54.3583657;18.5860152;Gdańsk;Piecki-Migowo
Good Life Clinic;clinic;54.3394149;18.5557772;Gdańsk;Jasień
Alfa Clinic;clinic;54.3514086;18.551277;Gdańsk;Jasień
Audika;clinic;54.3911043;18.5905371;Gdańsk;Zaspa-Młyniec
Jutro Medical;clinic;54.3766653;18.6126154;Gdańsk;Wrzeszcz Górny
Nowy Chełm;clinic;54.4479754;18.5437664;Sopot;
Bona Centrum Zdrowia;clinic;54.4032419;18.5818004;Gdańsk;Przymorze Małe
Centrum Medyczne Smoluchowskiego;hospital;54.3642847;18.6175719;Gdańsk;Aniołki
Starogardzka 01;stop_position;54.301894;18.6082389;Gdańsk;Orunia Górna - Gdańsk Południe
Czapielsk, Skrzyżowanie;stop_position;54.2636215;18.4282819;Babidół;
Kmicica (NŻ);stop_position;54.4990118;18.415854;Gdynia;Chwarzno-Wiczlino
Leźno, Remiza;stop_position;54.3476074;18.4373393;Leźno;
Miszewskiego 02;stop_position;54.3757843;18.6151527;Gdańsk;Wrzeszcz Górny
Klonowa;stop_position;54.3798817;18.6030332;Gdańsk;Wrzeszcz Górny
Galeria Bałtycka 02;stop_position;54.3820718;18.5989616;Gdańsk;Wrzeszcz Górny
Wojska Polskiego 02;stop_position;54.3870466;18.5907756;Gdańsk;Strzyża
Oliwa 02;stop_position;54.4099191;18.5659212;Gdańsk;Oliwa
Obrońców Westerplatte 01;stop_position;54.4083748;18.5629806;Gdańsk;Oliwa
Oliwa 01;stop_position;54.4100121;18.5671004;Gdańsk;Oliwa
Derdowskiego 01;stop_position;54.4050693;18.563912;Gdańsk;Oliwa
Tetmajera 01;stop_position;54.4027016;18.5656803;Gdańsk;Oliwa
Bażyńskiego 01;stop_position;54.3988472;18.5686061;Gdańsk;Oliwa
Uniwersytet Gdański 01;stop_position;54.3958038;18.5716415;Gdańsk;Oliwa
Strzyża PKM 01;stop_position;54.3913813;18.5774228;Gdańsk;VII Dwór
Wilka-Krzyżanowskiego 02;stop_position;54.3882328;18.5818847;Gdańsk;Strzyża
Zamenhofa 02;stop_position;54.3869117;18.5855082;Gdańsk;Strzyża
Sarnia 01;stop_position;54.4162056;18.5585266;Gdańsk;Oliwa
Jelitkowo 05;stop_position;54.4231713;18.5939769;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
"Sopot Sanatorium ""Leśnik"" 01";stop_position;54.4493714;18.527337;Sopot;
Wejherowska 02;stop_position;54.4530146;18.5553947;Sopot;
Kamienny Potok - Kościół 01;stop_position;54.4569407;18.5451407;Sopot;
Kamienny Potok SKM 03;stop_position;54.4569807;18.552769;Sopot;
Źródło Marii 01;stop_position;54.4698996;18.4972786;Gdynia;Wielki Kack
Stawna;stop_position;54.4943907;18.5078741;Gdynia;Witomino
